Location,Date,Set Type,Song Order,Song
"Dallas, TX",12/1/2017,First Set,2,Brown Eyed Women
"Dallas, TX",12/1/2017,First Set,3,Deep Elem Blues
"Dallas, TX",12/1/2017,First Set,4,Friend of the Devil
"Dallas, TX",12/1/2017,First Set,5,El Paso
"Dallas, TX",12/1/2017,First Set,6,They Love Each Other
"Dallas, TX",12/1/2017,First Set,7,Music Never Stopped
"Dallas, TX",12/1/2017,First Set,8,Easy Answers
"Dallas, TX",12/1/2017,First Set,9,Music Never Stopped
"Dallas, TX",12/1/2017,Second Set,10,Here Comes Sunshine
"Dallas, TX",12/1/2017,Second Set,11,Scarlet Begonias
"Dallas, TX",12/1/2017,Second Set,12,Fire on the Mountain
"Dallas, TX",12/1/2017,Second Set,13,Eyes of the World
"Dallas, TX",12/1/2017,Second Set,14,Drums
"Dallas, TX",12/1/2017,Second Set,15,Space
"Dallas, TX",12/1/2017,Second Set,16,Dear Prudence
"Dallas, TX",12/1/2017,Second Set,17,The Wheel
"Dallas, TX",12/1/2017,Second Set,18,Casey Jones
"Dallas, TX",12/1/2017,Encore,19,Knocking on Heaven's Door
"Austin, TX",12/2/2017,First Set,1,Jack Straw
"Austin, TX",12/2/2017,First Set,2,Cold Rain and Snow
"Austin, TX",12/2/2017,First Set,3,Minglewood Blues
"Austin, TX",12/2/2017,First Set,4,Next Time You See me
"Austin, TX",12/2/2017,First Set,5,Ramble On Rose
"Austin, TX",12/2/2017,First Set,6,If I Had the World to Give
"Austin, TX",12/2/2017,First Set,7,Sugaree
"Austin, TX",12/2/2017,Second Set,8,China Cat Sunflower
"Austin, TX",12/2/2017,Second Set,9,I Know You Rider
"Austin, TX",12/2/2017,Second Set,10,Dark Star
"Austin, TX",12/2/2017,Second Set,11,Other One
"Austin, TX",12/2/2017,Second Set,12,Drums
"Austin, TX",12/2/2017,Second Set,13,Space
"Austin, TX",12/2/2017,Second Set,14,Uncle John's Band
"Austin, TX",12/2/2017,Second Set,15,St. Stephen
"Austin, TX",12/2/2017,Second Set,16,Morning Dew
"Austin, TX",12/2/2017,Encore,17,One More Saturday Night
